  ,School County,School Type,School ID,Total Students,White,African American,Hispanic,Asian,HI/Pac. Isl.,Am.Ind/AK,2 or More,Points Total,Points %,Percentile,Stars,Achievement Points,% Prof Math,% Prof ELA,Avg. PL Math,Avg. PL ELA,White Math %,AA Math %,Hispanic Math %,Asian Math %,2+ Math %,Special Ed. Math %,English Learner Math %,White ELA %,AA ELA %,Hispanic ELA %,Asian ELA %,2+ ELA %,Special Ed. ELA %,English Learner ELA %,4Y Grad Rate,4Y White,4Y AA,4Y Hispanic,4Y Asian,4Y 2+,4Y Special Ed.,4Y English Learner,5Y Grad Rate,5Y White,5Y AA,5Y Hispanic,5Y Asian,5Y 2+,5Y Special Ed.,5Y English Learner,Eng. Learners ELA Progress,Credit For Well-Rounded Rate,9th Grade On Track Grad Rate,Not Chronic Absent %,Access to Well Rounded Curriculum %,Math Growth Percentile (ES/MS),ELA Growth Percentile (ES/MS),FARMS Rate,FARMS Standardized,White Index,White Standardized,Black Index,Black Standardized,Asian Index,Asian Standardized,2 or more index,hispanic index,Segregation Index,Standardized
Beall Elementary 2,Allegany County,Elementary,2801,456,410,0,0,0,0,0,25,59.5,0.79,91,5,12,52.80%,54.50%,3.3,3.3,51.6,0,0,0,0,13.3,0,52.8,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,85%,100%,75.5,71,54.82%,0.3979,0.3891,-0.7192,14.3085,-0.5655,5.7501,-0.3396,0.0115,11.7677,5.6769,-1.015471739
Bel Air Elementary,Allegany County,Elementary,702,238,219,0,0,0,0,0,12,49.3,0.66,54,4,10.8,40.80%,48.50%,3.2,3.2,40,0,0,0,0,34.6,0,47.8,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,90.60%,100%,34,51,55.04%,0.4062,0.6374,-0.7173,7.4680,-0.5729,3.0012,-0.3480,0.1329,6.1419,4.1691,-1.200518526
Cash Valley Elementary,Allegany County,Elementary,2901,274,235,0,0,0,0,0,20,63.7,0.85,97,5,13.7,66%,63.20%,3.6,3.6,63.4,0,0,0,0,36,0,61.3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.20%,100%,87,77,65.58%,0.8032,0.0632,-0.7234,8.5977,-0.5715,3.4551,-0.3464,1.4106,7.0710,4.5385,-1.155188451
Cresaptown Elementary,Allegany County,Elementary,701,321,296,0,0,0,0,0,15,59.3,0.79,90,5,11.8,51%,54.10%,3.2,3.3,50.7,0,0,0,0,16,0,54,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.10%,100%,75,69,50%,0.2163,0.9305,-0.7154,10.0724,-0.5698,4.0478,-0.3445,0.4938,8.2839,4.8814,-1.113095093
Flintstone Elementary 1,Allegany County,Elementary,301,232,214,0,0,0,0,0,15,48.7,0.65,52,4,9.6,28.30%,45.10%,2.8,3.1,29.5,0,0,0,0,10.3,0,46.7,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.60%,0,91.50%,97.60%,44,45,55.65%,0.4291,0.6804,-0.7170,7.2798,-0.5732,2.9255,-0.3483,0.3094,5.9871,4.1451,-1.203458201
Frost Elementary,Allegany County,Elementary,1101,225,209,0,,0,0,0,0,66.6,0.89,99,5,16.1,77.50%,83.30%,4,4,77.4,0,0,0,0,38.5,0,83.9,0,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,95.10%,100%,74,67,31.11%,-0.4953,0.8397,-0.7159,7.0601,-0.5735,2.8372,-0.3486,12.6026,5.8065,5.3987,-1.049610067
George's Creek Elementary,Allegany County,Elementary,1001,306,299,0,0,0,0,0,0,52.7,0.7,68,4,9.7,34.10%,40.50%,2.9,3,34.1,0,0,0,0,35.7,0,40.5,0,0,0,0,29.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,82.50%,100%,70,56,71.15%,1.0131,3.8900,-0.7040,9.6018,-0.5703,3.8587,-0.3451,17.1396,7.8968,6.5105,-0.9131622486
John Humbird Elementary,Allegany County,Elementary,402,275,213,25,0,0,0,0,30,52.3,0.7,67,4,10.3,40.60%,44.30%,3,3.1,42.2,30,0,0,27.3,19,0,44.6,30,0,0,45.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,75.50%,100%,71,66,91.48%,1.7789,2.9863,-0.7068,31.0589,-0.5527,3.4677,-0.3464,13.8325,7.0968,7.6448,-0.7739584957
Mt. Savage Elementary,Allegany County,Elementary,1302,198,192,0,0,0,0,0,0,51.4,0.69,63,4,10.9,39.20%,47.10%,3.2,3.4,40.2,0,0,0,0,33.3,0,48.5,0,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,86.90%,100%,48,54.5,62.81%,0.6989,2.1744,-0.7096,6.2129,-0.5746,2.4968,-0.3500,11.0903,5.1097,5.2042,-1.073478132
Northeast Elementary,Allegany County,Elementary,502,319,279,10,0,0,0,0,27,59.6,0.79,91,5,11.1,49.60%,46.20%,3.2,3.1,50,0,0,0,0,33.3,0,49.6,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,87.30%,100%,81,66,59.56%,0.5764,0.0028,-0.7257,0.0000,-0.5924,4.0226,-0.3446,4.6675,8.2323,4.1140,-1.207278096
Parkside Elementary,Allegany County,Elementary,2902,224,178,13,0,0,0,0,22,59.6,0.79,91,5,12.6,57.40%,57.80%,3.4,3.5,59,0,0,0,50,30,0,59.5,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%,0,84.50%,100%,79,66,55.71%,0.4314,1.5314,-0.7123,5.0729,-0.5764,2.8246,-0.3487,7.1227,5.7806,4.7257,-1.132207067
